City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Redlands,US,34.0556,-117.1825,72.43,64,96,4.5,overcast clouds
309,Ulaangom,MN,49.9811,92.0667,32.95,55,94,5.73,overcast clouds
310,Qaanaaq,GL,77.484,-69.3632,16.7,71,100,8.72,overcast clouds
311,Walvis Bay,NA,-22.9575,14.5053,61.09,85,0,8.39,clear sky
312,Yeppoon,AU,-23.1333,150.7333,76.78,61,90,18.9,overcast clouds
313,Namie,JP,37.4833,141.0,63.97,71,100,3.49,overcast clouds
314,Luderitz,NA,-26.6481,15.1594,61.61,69,100,7.49,overcast clouds
315,Yumen,CN,40.2833,97.2,40.75,31,100,7.81,overcast clouds
316,Richards Bay,ZA,-28.783,32.0377,63.45,91,100,5.91,overcast clouds
317,Sura,RU,53.8879,45.7419,39.61,86,5,7.72,clear sky
318,Akhtanizovskaya,RU,45.32,37.1,46.87,76,100,8.9,overcast clouds
319,Geraldton,AU,-28.7667,114.6,67.12,59,75,18.41,broken clouds
320,Rong Kwang,TH,18.339,100.3174,74.48,95,100,0.83,overcast clouds
321,Verkhoyansk,RU,67.5447,133.385,3.27,85,100,4.68,overcast clouds
322,Vieques,PR,18.425,-65.8329,81.63,78,20,4.61,few clouds
323,Muroto,JP,33.2833,134.15,67.66,63,84,5.08,broken clouds
324,Homer,US,59.6425,-151.5483,49.89,62,75,10.36,broken clouds
325,Mayo,US,38.8876,-76.5119,59.95,76,0,1.99,clear sky
326,Humberto De Campos,BR,-2.5983,-43.4611,75.85,92,96,5.21,overcast clouds
327,Sumbe,AO,-11.2061,13.8437,73.96,88,100,4.0,light rain
328,Kaffrine,SN,14.1059,-15.5508,79.9,44,19,5.93,few clouds
329,Hauterive,FR,46.0901,3.4459,54.36,94,100,2.82,moderate rain
330,Penzance,GB,50.1186,-5.5371,52.81,70,57,25.7,broken clouds
331,Ouanaminthe,HT,19.55,-71.7333,76.26,82,18,0.29,few clouds
332,Tynda,RU,55.1667,124.7167,24.37,55,100,2.13,overcast clouds
333,Kruisfontein,ZA,-34.0033,24.7314,61.88,84,100,11.81,overcast clouds
334,Grand-Santi,GF,4.25,-54.3833,72.99,98,70,2.53,broken clouds
335,Lalitpur,NP,27.6667,85.3333,54.27,86,60,1.19,broken clouds
336,Sinjar,IQ,36.3209,41.8754,64.9,64,100,10.04,overcast clouds
337,Klaksvik,FO,62.2266,-6.589,41.92,66,100,9.8,overcast clouds
338,Sakakah,SA,29.9697,40.2064,72.95,30,100,7.99,overcast clouds
339,Privodino,RU,61.0781,46.5044,39.15,97,100,2.51,light rain
340,Berdigestyakh,RU,62.0989,126.6992,16.36,92,100,4.25,overcast clouds
341,Mountain Home,US,43.133,-115.6912,52.54,93,20,0.0,few clouds
342,Awjilah,LY,29.1081,21.2869,65.16,85,42,7.52,scattered clouds
343,Sevilla,ES,37.3824,-5.9761,70.0,92,90,5.99,overcast clouds
